Circuit	ni	ei	oi	ri	pi	filename	
ae_50	50	194	202	0.9603960396039604	62	p1_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p2_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p3_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p4_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p5_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p6_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p7_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p8_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p9_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p10_k11_ae_indep_qiskit_50.qasm
ae_50	50	194	202	0.9603960396039604	62	p11_k11_ae_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p1_k11_qft_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p2_k11_qft_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p3_k11_qft_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p4_k11_qft_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p5_k11_qft_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p6_k11_qft_indep_qiskit_50.qasm
qft_50	50	193	197	0.9796954314720813	55	p7_k11_qft_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p8_k11_qft_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p9_k11_qft_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p10_k11_qft_indep_qiskit_50.qasm
qft_50	50	194	198	0.9797979797979798	55	p11_k11_qft_indep_qiskit_50.qasm
qpeexact_50	50	194	202	0.9603960396039604	56	p1_k11_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	194	202	0.9603960396039604	56	p2_k11_qpeexact_indep_qiskit_50.qasm
