Circuit	ni	ei	oi	ri	pi	filename	
ae_50	50	147	153	0.9607843137254902	59	p1_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p2_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p3_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p4_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p5_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p6_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p7_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p8_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p9_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p10_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p11_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p12_k13_ae_indep_qiskit_50.qasm
ae_50	50	147	153	0.9607843137254902	59	p13_k13_ae_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p1_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p2_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p3_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p4_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p5_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p6_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p7_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p8_k13_qft_indep_qiskit_50.qasm
qft_50	50	146	149	0.9798657718120806	54	p9_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p10_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p11_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p12_k13_qft_indep_qiskit_50.qasm
qft_50	50	147	150	0.98	54	p13_k13_qft_indep_qiskit_50.qasm
qpeexact_50	50	147	153	0.9607843137254902	55	p1_k13_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	147	153	0.9607843137254902	55	p2_k13_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	147	153	0.9607843137254902	55	p3_k13_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	147	153	0.9607843137254902	55	p4_k13_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	147	153	0.9607843137254902	55	p5_k13_qpeexact_indep_qiskit_50.qasm
