Circuit	ni	ei	oi	ri	pi	filename	
ae_10	10	27	33	0.8181818181818182	19	p1_k3_ae_indep_qiskit_10.qasm
ae_10	10	27	33	0.8181818181818182	19	p2_k3_ae_indep_qiskit_10.qasm
ae_10	10	27	33	0.8181818181818182	19	p3_k3_ae_indep_qiskit_10.qasm
qft_10	10	27	30	0.9	14	p1_k3_qft_indep_qiskit_10.qasm
qft_10	10	26	29	0.896551724137931	14	p2_k3_qft_indep_qiskit_10.qasm
qft_10	10	27	30	0.9	14	p3_k3_qft_indep_qiskit_10.qasm
qpeexact_10	10	27	33	0.8181818181818182	15	p1_k3_qpeexact_indep_qiskit_10.qasm
qpeexact_10	10	25	31	0.8064516129032258	17	p2_k3_qpeexact_indep_qiskit_10.qasm
qpeexact_10	10	25	31	0.8064516129032258	15	p3_k3_qpeexact_indep_qiskit_10.qasm
ghz_10	10	3	3	1.0	4	p1_k3_ghz_indep_qiskit_10.qasm
ghz_10	10	4	4	1.0	5	p2_k3_ghz_indep_qiskit_10.qasm
ghz_10	10	4	4	1.0	5	p3_k3_ghz_indep_qiskit_10.qasm
ae_50	50	680	712	0.9550561797752809	98	p1_k3_ae_indep_qiskit_50.qasm
ae_50	50	680	712	0.9550561797752809	98	p2_k3_ae_indep_qiskit_50.qasm
ae_50	50	680	712	0.9550561797752809	98	p3_k3_ae_indep_qiskit_50.qasm
qft_50	50	680	696	0.9770114942528736	67	p1_k3_qft_indep_qiskit_50.qasm
qft_50	50	673	689	0.97677793904209	67	p2_k3_qft_indep_qiskit_50.qasm
qft_50	50	680	696	0.9770114942528736	67	p3_k3_qft_indep_qiskit_50.qasm
qpeexact_50	50	680	712	0.9550561797752809	68	p1_k3_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	672	704	0.9545454545454546	82	p2_k3_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	680	712	0.9550561797752809	82	p3_k3_qpeexact_indep_qiskit_50.qasm
ghz_50	50	16	16	1.0	17	p1_k3_ghz_indep_qiskit_50.qasm
ghz_50	50	17	17	1.0	18	p2_k3_ghz_indep_qiskit_50.qasm
ghz_50	50	17	17	1.0	18	p3_k3_ghz_indep_qiskit_50.qasm
ae_100	100	2772	2838	0.9767441860465116	199	p1_k3_ae_indep_qiskit_100.qasm
ae_100	100	2772	2838	0.9767441860465116	199	p2_k3_ae_indep_qiskit_100.qasm
ae_100	100	2772	2838	0.9767441860465116	199	p3_k3_ae_indep_qiskit_100.qasm
qft_100	100	2772	2805	0.9882352941176471	134	p1_k3_qft_indep_qiskit_100.qasm
qft_100	100	2756	2789	0.9881678020795984	134	p2_k3_qft_indep_qiskit_100.qasm
qft_100	100	2772	2805	0.9882352941176471	134	p3_k3_qft_indep_qiskit_100.qasm
qpeexact_100	100	2772	2838	0.9767441860465116	135	p1_k3_qpeexact_indep_qiskit_100.qasm
qpeexact_100	100	2755	2821	0.9766040411201702	167	p2_k3_qpeexact_indep_qiskit_100.qasm
qpeexact_100	100	2772	2838	0.9767441860465116	167	p3_k3_qpeexact_indep_qiskit_100.qasm
ghz_100	100	33	33	1.0	34	p1_k3_ghz_indep_qiskit_100.qasm
ghz_100	100	34	34	1.0	35	p2_k3_ghz_indep_qiskit_100.qasm
ghz_100	100	34	34	1.0	35	p3_k3_ghz_indep_qiskit_100.qasm
