Circuit	ni	ei	oi	ri	pi	filename	
ae_10	10	40	50	0.8	25	p1_k2_ae_indep_qiskit_10.qasm
ae_10	10	44	71	0.6197183098591549	49	p2_k2_ae_indep_qiskit_10.qasm
qft_10	10	40	45	0.8888888888888888	16	p1_k2_qft_indep_qiskit_10.qasm
qft_10	10	40	45	0.8888888888888888	16	p2_k2_qft_indep_qiskit_10.qasm
qpeexact_10	10	39	49	0.7959183673469388	17	p1_k2_qpeexact_indep_qiskit_10.qasm
qpeexact_10	10	37	46	0.8043478260869565	21	p2_k2_qpeexact_indep_qiskit_10.qasm
ghz_10	10	5	5	1.0	6	p1_k2_ghz_indep_qiskit_10.qasm
ghz_10	10	5	6	0.8333333333333334	7	p2_k2_ghz_indep_qiskit_10.qasm
ae_50	50	950	1000	0.95	125	p1_k2_ae_indep_qiskit_50.qasm
ae_50	50	974	1121	0.8688670829616414	269	p2_k2_ae_indep_qiskit_50.qasm
qft_50	50	950	975	0.9743589743589743	76	p1_k2_qft_indep_qiskit_50.qasm
qft_50	50	950	975	0.9743589743589743	76	p2_k2_qft_indep_qiskit_50.qasm
qpeexact_50	50	949	999	0.94994994994995	77	p1_k2_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	949	998	0.9509018036072144	124	p2_k2_qpeexact_indep_qiskit_50.qasm
ghz_50	50	25	25	1.0	26	p1_k2_ghz_indep_qiskit_50.qasm
ghz_50	50	25	26	0.9615384615384616	27	p2_k2_ghz_indep_qiskit_50.qasm
ae_100	100	3775	3875	0.9741935483870968	250	p1_k2_ae_indep_qiskit_100.qasm
ae_100	100	3824	4121	0.9279301140499878	544	p2_k2_ae_indep_qiskit_100.qasm
qft_100	100	3775	3825	0.9869281045751634	151	p1_k2_qft_indep_qiskit_100.qasm
qft_100	100	3775	3825	0.9869281045751634	151	p2_k2_qft_indep_qiskit_100.qasm
qpeexact_100	100	3774	3874	0.9741868869385648	152	p1_k2_qpeexact_indep_qiskit_100.qasm
qpeexact_100	100	3774	3873	0.9744384198295895	249	p2_k2_qpeexact_indep_qiskit_100.qasm
ghz_100	100	50	50	1.0	51	p1_k2_ghz_indep_qiskit_100.qasm
ghz_100	100	50	51	0.9803921568627451	52	p2_k2_ghz_indep_qiskit_100.qasm
