Circuit	ni	ei	oi	ri	pi	filename	
ae_10	10	19	23	0.8260869565217391	16	p1_k5_ae_indep_qiskit_10.qasm
ae_10	10	19	23	0.8260869565217391	16	p2_k5_ae_indep_qiskit_10.qasm
ae_10	10	19	23	0.8260869565217391	16	p3_k5_ae_indep_qiskit_10.qasm
ae_10	10	19	23	0.8260869565217391	16	p4_k5_ae_indep_qiskit_10.qasm
ae_10	10	26	47	0.5531914893617021	46	p5_k5_ae_indep_qiskit_10.qasm
qft_10	10	19	21	0.9047619047619048	13	p1_k5_qft_indep_qiskit_10.qasm
qft_10	10	19	21	0.9047619047619048	13	p2_k5_qft_indep_qiskit_10.qasm
qft_10	10	18	20	0.9	13	p3_k5_qft_indep_qiskit_10.qasm
qft_10	10	19	21	0.9047619047619048	13	p4_k5_qft_indep_qiskit_10.qasm
qft_10	10	19	21	0.9047619047619048	13	p5_k5_qft_indep_qiskit_10.qasm
qpeexact_10	10	19	23	0.8260869565217391	14	p1_k5_qpeexact_indep_qiskit_10.qasm
qpeexact_10	10	19	23	0.8260869565217391	14	p2_k5_qpeexact_indep_qiskit_10.qasm
qpeexact_10	10	18	22	0.8181818181818182	14	p3_k5_qpeexact_indep_qiskit_10.qasm
qpeexact_10	10	18	22	0.8181818181818182	14	p4_k5_qpeexact_indep_qiskit_10.qasm
qpeexact_10	10	16	19	0.8421052631578947	13	p5_k5_qpeexact_indep_qiskit_10.qasm
ghz_10	10	2	2	1.0	3	p1_k5_ghz_indep_qiskit_10.qasm
ghz_10	10	3	3	1.0	4	p2_k5_ghz_indep_qiskit_10.qasm
ghz_10	10	3	3	1.0	4	p3_k5_ghz_indep_qiskit_10.qasm
ghz_10	10	3	3	1.0	4	p4_k5_ghz_indep_qiskit_10.qasm
ghz_10	10	2	3	0.6666666666666666	4	p5_k5_ghz_indep_qiskit_10.qasm
ae_50	50	455	475	0.9578947368421052	80	p1_k5_ae_indep_qiskit_50.qasm
ae_50	50	455	475	0.9578947368421052	80	p2_k5_ae_indep_qiskit_50.qasm
ae_50	50	455	475	0.9578947368421052	80	p3_k5_ae_indep_qiskit_50.qasm
ae_50	50	455	475	0.9578947368421052	80	p4_k5_ae_indep_qiskit_50.qasm
ae_50	50	494	611	0.8085106382978723	254	p5_k5_ae_indep_qiskit_50.qasm
qft_50	50	455	465	0.978494623655914	61	p1_k5_qft_indep_qiskit_50.qasm
qft_50	50	455	465	0.978494623655914	61	p2_k5_qft_indep_qiskit_50.qasm
qft_50	50	450	460	0.9782608695652174	61	p3_k5_qft_indep_qiskit_50.qasm
qft_50	50	455	465	0.978494623655914	61	p4_k5_qft_indep_qiskit_50.qasm
qft_50	50	455	465	0.978494623655914	61	p5_k5_qft_indep_qiskit_50.qasm
qpeexact_50	50	455	475	0.9578947368421052	62	p1_k5_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	455	475	0.9578947368421052	62	p2_k5_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	450	470	0.9574468085106383	70	p3_k5_qpeexact_indep_qiskit_50.qasm
qpeexact_50	50	455	475	0.9578947368421052	62	p4_k5_qpeexact_indep_qiskit_50.qasm
